,OA,G-Mean,F-Score
Kmeans+Kmeans,0.946615949443052,0.9351070738598984,0.8902917764785044
kmeans+minority_rej+bhattacharyya,0.9629423140508155,0.9407353422364062,0.9100728562381699
SOM+Kmeans,0.94572108120705,0.935019127948989,0.8898542689324292
K-means+hierarchical,0.9207612578424046,0.9089947724789065,0.8521812501105697
som+minority_rej+bhattacharyya,0.9625887977677736,0.9392513001853132,0.9076795972772104
SOM+paris,0.9426311124138141,0.911301680784079,0.8691936310715158
SOM+SOM,0.9475520677448313,0.9314694252828776,0.8791541653920616
Kmeans+SOM,0.9532990465326199,0.9355739139316104,0.8907498944452847
