band,norm_score
B01,0.5046325840148679
B02,0.28109472560260773
B03,0.2178532785965802
B04,-0.12009121761552881
B05,-0.08624592059974023
B06,0.2631392393923536
B07,-0.02710404478154055
B08,-0.03152141218547917
B09,0.30848875943134946
B11,-0.049826474233454994
B12,0.00019465018236779671
B8A,0.08113734642576086
NDBI,0.15302285050999917
NDMI,0.5277363689261153
NDVI,-0.1780254678125078
NDWI,0.6514862154796185
