,models,params,mean_fit_time,mean_test_accuracy,mean_test_f1_macro,mean_test_geometric_mean_macro
281,DimReduct|RFC,"{'DimReduct__n_features': 282, 'RFC__random_state': 2357136044}",313.7010759830475,0.6755550864404133,0.5810156212737316,0.7150954589451768
145,DimReduct|RFC,"{'DimReduct__n_features': 146, 'RFC__random_state': 2357136044}",217.51649899482726,0.675525065015435,0.5791831723173568,0.7136129217299941
106,DimReduct|RFC,"{'DimReduct__n_features': 107, 'RFC__random_state': 2357136044}",150.26444053649902,0.675505195778755,0.5805169951490178,0.7142079130955556
259,DimReduct|RFC,"{'DimReduct__n_features': 260, 'RFC__random_state': 2357136044}",293.7688964366913,0.6755050721701028,0.57759426880209,0.7132067808575788
166,DimReduct|RFC,"{'DimReduct__n_features': 167, 'RFC__random_state': 2357136044}",231.31203317642212,0.6755049475560269,0.5771638877643623,0.7123461352865414
291,DimReduct|RFC,"{'DimReduct__n_features': 292, 'RFC__random_state': 2357136044}",262.9472684383392,0.6755049224301525,0.5780797710466603,0.7131263924352165
285,DimReduct|RFC,"{'DimReduct__n_features': 286, 'RFC__random_state': 2357136044}",299.1864600658417,0.6754747854598414,0.5796260997314826,0.7139783324952493
138,DimReduct|RFC,"{'DimReduct__n_features': 139, 'RFC__random_state': 2357136044}",204.53786458969117,0.6754650161367785,0.5746258636493355,0.7109275363783972
123,DimReduct|RFC,"{'DimReduct__n_features': 124, 'RFC__random_state': 2357136044}",205.93204469680785,0.675455055913123,0.5778137277382547,0.7129391128954683
160,DimReduct|RFC,"{'DimReduct__n_features': 161, 'RFC__random_state': 2357136044}",205.6044674396515,0.6754550056339738,0.5801143836494516,0.7138354640895581
171,DimReduct|RFC,"{'DimReduct__n_features': 172, 'RFC__random_state': 2357136044}",234.73458280563355,0.6754549071697301,0.5784227127269366,0.7131600050659006
266,DimReduct|RFC,"{'DimReduct__n_features': 267, 'RFC__random_state': 2357136044}",294.8552830219269,0.6754548187369388,0.5788833756472735,0.7137858611319939
316,DimReduct|RFC,"{'DimReduct__n_features': 317, 'RFC__random_state': 2357136044}",258.3868446826935,0.6754548126917138,0.5798508614666554,0.7143460982649965
164,DimReduct|RFC,"{'DimReduct__n_features': 165, 'RFC__random_state': 2357136044}",213.0828498840332,0.6754450715393991,0.5806919748759478,0.7150243999986764
261,DimReduct|RFC,"{'DimReduct__n_features': 262, 'RFC__random_state': 2357136044}",293.28064999580386,0.6754349344241702,0.5793618052714098,0.7142513011837324
227,DimReduct|RFC,"{'DimReduct__n_features': 228, 'RFC__random_state': 2357136044}",273.26563396453855,0.6754347092963239,0.5787780881892133,0.7133885072474049
153,DimReduct|RFC,"{'DimReduct__n_features': 154, 'RFC__random_state': 2357136044}",205.03721475601196,0.6754250163708091,0.5794221201641292,0.7130244131800669
239,DimReduct|RFC,"{'DimReduct__n_features': 240, 'RFC__random_state': 2357136044}",273.9646392822266,0.6754147717352863,0.5780132844375055,0.7127252703394694
305,DimReduct|RFC,"{'DimReduct__n_features': 306, 'RFC__random_state': 2357136044}",257.48370518684385,0.6753948019989389,0.5800974495638037,0.7147320415810022
161,DimReduct|RFC,"{'DimReduct__n_features': 162, 'RFC__random_state': 2357136044}",205.80889482498168,0.675374844328858,0.5772339217899262,0.7123245908177219
246,DimReduct|RFC,"{'DimReduct__n_features': 247, 'RFC__random_state': 2357136044}",275.2242102622986,0.6753645845991152,0.5781114394844146,0.712700069644913
252,DimReduct|RFC,"{'DimReduct__n_features': 253, 'RFC__random_state': 2357136044}",275.5443289279938,0.675324560749161,0.578598440333103,0.7132518598913604
282,DimReduct|RFC,"{'DimReduct__n_features': 283, 'RFC__random_state': 2357136044}",271.3453842163086,0.6753244270983769,0.5815360841989072,0.7151211038890077
295,DimReduct|RFC,"{'DimReduct__n_features': 296, 'RFC__random_state': 2357136044}",285.90219869613645,0.6753144980057275,0.57905406817657,0.7132285844600833
242,DimReduct|RFC,"{'DimReduct__n_features': 243, 'RFC__random_state': 2357136044}",273.0801187515259,0.6753144417224544,0.5793405118814314,0.7137757437605176
168,DimReduct|RFC,"{'DimReduct__n_features': 169, 'RFC__random_state': 2357136044}",237.25933179855346,0.675304720653997,0.5773646013537992,0.7120407892764573
206,DimReduct|RFC,"{'DimReduct__n_features': 207, 'RFC__random_state': 2357136044}",255.94093446731569,0.6752945443408149,0.5788507938793204,0.7132032364438936
233,DimReduct|RFC,"{'DimReduct__n_features': 234, 'RFC__random_state': 2357136044}",282.1632647514343,0.6752843881386863,0.5787074678792736,0.713380241886125
284,DimReduct|RFC,"{'DimReduct__n_features': 285, 'RFC__random_state': 2357136044}",281.64173927307127,0.6752643741915856,0.5778172060446296,0.7132467010459453
298,DimReduct|RFC,"{'DimReduct__n_features': 299, 'RFC__random_state': 2357136044}",259.3648792266846,0.675264357108279,0.5798798133527666,0.7143301359039871
286,DimReduct|RFC,"{'DimReduct__n_features': 287, 'RFC__random_state': 2357136044}",284.54230818748476,0.6752443984162599,0.5802266050323254,0.7148140792292362
218,DimReduct|RFC,"{'DimReduct__n_features': 219, 'RFC__random_state': 2357136044}",255.9197437763214,0.6752442024559191,0.5768778181143663,0.7116586864200641
104,DimReduct|RFC,"{'DimReduct__n_features': 105, 'RFC__random_state': 2357136044}",150.5067660331726,0.6752245472741459,0.5802418152858284,0.7142398373590664
241,DimReduct|RFC,"{'DimReduct__n_features': 242, 'RFC__random_state': 2357136044}",273.4695695877075,0.6751941560485779,0.5799866291372349,0.7144445991791437
248,DimReduct|RFC,"{'DimReduct__n_features': 249, 'RFC__random_state': 2357136044}",275.05618410110475,0.6751741863003436,0.5785652331008005,0.713577448709467
121,DimReduct|RFC,"{'DimReduct__n_features': 122, 'RFC__random_state': 2357136044}",203.39326181411744,0.675144263362174,0.5760078904348489,0.711473096987378
219,DimReduct|RFC,"{'DimReduct__n_features': 220, 'RFC__random_state': 2357136044}",254.5893961906433,0.675134225747034,0.5789888706536493,0.7129832061551756
258,DimReduct|RFC,"{'DimReduct__n_features': 259, 'RFC__random_state': 2357136044}",293.20085949897765,0.6750839501951911,0.5804163621715939,0.7144251768739908
120,DimReduct|RFC,"{'DimReduct__n_features': 121, 'RFC__random_state': 2357136044}",206.93178119659424,0.6750740170607058,0.5768884802789854,0.7115884604612814
303,DimReduct|RFC,"{'DimReduct__n_features': 304, 'RFC__random_state': 2357136044}",258.545450925827,0.6750439022028277,0.5798928717146354,0.7142662812497844
149,DimReduct|RFC,"{'DimReduct__n_features': 150, 'RFC__random_state': 2357136044}",230.14592761993407,0.6750338444707884,0.5797572905565505,0.7139652378114011
108,DimReduct|RFC,"{'DimReduct__n_features': 109, 'RFC__random_state': 2357136044}",151.375400018692,0.6750238812133382,0.5758859208610795,0.711728871365468
232,DimReduct|RFC,"{'DimReduct__n_features': 233, 'RFC__random_state': 2357136044}",281.3444272041321,0.675013957140946,0.5783629894169405,0.7128532102127967
141,DimReduct|RFC,"{'DimReduct__n_features': 142, 'RFC__random_state': 2357136044}",196.54818410873412,0.6750038029518792,0.5768330161468457,0.7118321887348638
130,DimReduct|RFC,"{'DimReduct__n_features': 131, 'RFC__random_state': 2357136044}",218.35790839195252,0.6749937231096266,0.5766343309780863,0.7118620901907234
128,DimReduct|RFC,"{'DimReduct__n_features': 129, 'RFC__random_state': 2357136044}",216.05690565109253,0.674973526267632,0.5753654540276039,0.7110750816691949
318,DimReduct|RFC,"{'DimReduct__n_features': 319, 'RFC__random_state': 2357136044}",259.59045057296754,0.6749636635308046,0.581603953078254,0.7153689996811332
275,DimReduct|RFC,"{'DimReduct__n_features': 276, 'RFC__random_state': 2357136044}",257.74141869544985,0.6749435892469092,0.580704956162327,0.7142378255810524
172,DimReduct|RFC,"{'DimReduct__n_features': 173, 'RFC__random_state': 2357136044}",235.23100066184998,0.6749136894326359,0.579556636808235,0.7142119369955265
217,DimReduct|RFC,"{'DimReduct__n_features': 218, 'RFC__random_state': 2357136044}",256.7808074951172,0.6748535712286328,0.5814134003857251,0.7144836660992983
214,DimReduct|RFC,"{'DimReduct__n_features': 215, 'RFC__random_state': 2357136044}",253.3644202709198,0.674853541079276,0.5765039527522289,0.7115915660572514
216,DimReduct|RFC,"{'DimReduct__n_features': 217, 'RFC__random_state': 2357136044}",254.80845441818238,0.674853320984985,0.5783314764480957,0.7127254693234567
99,DimReduct|RFC,"{'DimReduct__n_features': 100, 'RFC__random_state': 2357136044}",153.33572640419007,0.6748435396244613,0.5788909388233009,0.7125886524614873
151,DimReduct|RFC,"{'DimReduct__n_features': 152, 'RFC__random_state': 2357136044}",208.2636739253998,0.6748435034411647,0.5788017257815151,0.7126887548235843
155,DimReduct|RFC,"{'DimReduct__n_features': 156, 'RFC__random_state': 2357136044}",205.8227792739868,0.6748434501820164,0.5771553954537887,0.7117872637038347
297,DimReduct|RFC,"{'DimReduct__n_features': 298, 'RFC__random_state': 2357136044}",259.5527007102966,0.6748333422290568,0.5810748367697705,0.7147985330609282
135,DimReduct|RFC,"{'DimReduct__n_features': 136, 'RFC__random_state': 2357136044}",200.2850450992584,0.6748133986105038,0.57733041315355,0.7120886245053655
317,DimReduct|RFC,"{'DimReduct__n_features': 318, 'RFC__random_state': 2357136044}",258.4346113204956,0.6747833128619047,0.5801125706942665,0.7146801902918842
92,DimReduct|RFC,"{'DimReduct__n_features': 93, 'RFC__random_state': 2357136044}",135.49135508537293,0.6747533356672226,0.5777644322633313,0.7126208949382394
229,DimReduct|RFC,"{'DimReduct__n_features': 230, 'RFC__random_state': 2357136044}",287.493657541275,0.6747530794023293,0.5789974699987994,0.7139159872513912
140,DimReduct|RFC,"{'DimReduct__n_features': 141, 'RFC__random_state': 2357136044}",197.18561310768126,0.6747530602968957,0.578309188159785,0.7130742722722244
137,DimReduct|RFC,"{'DimReduct__n_features': 138, 'RFC__random_state': 2357136044}",198.4653136730194,0.6747433492788295,0.5777180291134677,0.7127497187162449
184,DimReduct|RFC,"{'DimReduct__n_features': 185, 'RFC__random_state': 2357136044}",237.69893012046813,0.6747431251570079,0.5788745184395026,0.7128383162774166
313,DimReduct|RFC,"{'DimReduct__n_features': 314, 'RFC__random_state': 2357136044}",257.74604563713075,0.6747229343672877,0.5803007599411941,0.7139523988551498
133,DimReduct|RFC,"{'DimReduct__n_features': 134, 'RFC__random_state': 2357136044}",215.29913897514342,0.6746829758274384,0.5761676423756633,0.7106538739845965
148,DimReduct|RFC,"{'DimReduct__n_features': 149, 'RFC__random_state': 2357136044}",219.61117587089538,0.6746127737546627,0.5770140072834525,0.7116869337209004
308,DimReduct|RFC,"{'DimReduct__n_features': 309, 'RFC__random_state': 2357136044}",259.73040294647217,0.6746028446491168,0.5786635992344319,0.7130521383832317
222,DimReduct|RFC,"{'DimReduct__n_features': 223, 'RFC__random_state': 2357136044}",254.70399723052978,0.6745725719980387,0.5772146249683149,0.712346232551911
96,DimReduct|RFC,"{'DimReduct__n_features': 97, 'RFC__random_state': 2357136044}",136.02367553710937,0.6745626660167875,0.5798722414198166,0.7141255222689086
102,DimReduct|RFC,"{'DimReduct__n_features': 103, 'RFC__random_state': 2357136044}",152.99802360534667,0.6745425123758956,0.5767096655442134,0.7120236191200314
107,DimReduct|RFC,"{'DimReduct__n_features': 108, 'RFC__random_state': 2357136044}",150.3643612384796,0.6745126868961504,0.5791059442072456,0.7129024162036085
109,DimReduct|RFC,"{'DimReduct__n_features': 110, 'RFC__random_state': 2357136044}",151.90698504447937,0.6744725846615763,0.5782296469027471,0.7128576846032886
309,DimReduct|RFC,"{'DimReduct__n_features': 310, 'RFC__random_state': 2357136044}",259.99775805473325,0.6744625138824245,0.5782172375745029,0.7133572228990601
110,DimReduct|RFC,"{'DimReduct__n_features': 111, 'RFC__random_state': 2357136044}",152.0098340511322,0.6744525948226332,0.5764528554092627,0.7120340869871725
319,DimReduct|RFC,"{'DimReduct__n_features': 320, 'RFC__random_state': 2357136044}",241.17314114570618,0.6744224256862816,0.5781876457150622,0.7126556748422661
116,DimReduct|RFC,"{'DimReduct__n_features': 117, 'RFC__random_state': 2357136044}",187.63279271125793,0.6744023715329837,0.5768138895614009,0.7113038764362656
213,DimReduct|RFC,"{'DimReduct__n_features': 214, 'RFC__random_state': 2357136044}",255.4113609790802,0.674352244713256,0.5785510107255142,0.7129972541909967
91,DimReduct|RFC,"{'DimReduct__n_features': 92, 'RFC__random_state': 2357136044}",140.23706502914428,0.6743121997309076,0.5747256773873748,0.7112373859979398
129,DimReduct|RFC,"{'DimReduct__n_features': 130, 'RFC__random_state': 2357136044}",222.46357502937317,0.6743120228612931,0.5768501603610476,0.7121644973705633
94,DimReduct|RFC,"{'DimReduct__n_features': 95, 'RFC__random_state': 2357136044}",136.11477994918823,0.674302233461023,0.577774016954043,0.7121249279944853
118,DimReduct|RFC,"{'DimReduct__n_features': 119, 'RFC__random_state': 2357136044}",187.0375732421875,0.6742622668552366,0.5761436159033231,0.7113085763912179
314,DimReduct|RFC,"{'DimReduct__n_features': 315, 'RFC__random_state': 2357136044}",257.0617449760437,0.6742620698777888,0.578803477834428,0.7133245745051235
93,DimReduct|RFC,"{'DimReduct__n_features': 94, 'RFC__random_state': 2357136044}",135.22707147598265,0.6742520041539526,0.5779176013305338,0.7121133729973828
119,DimReduct|RFC,"{'DimReduct__n_features': 120, 'RFC__random_state': 2357136044}",188.8446196079254,0.6742319901758205,0.5761778581187371,0.710836674309309
103,DimReduct|RFC,"{'DimReduct__n_features': 104, 'RFC__random_state': 2357136044}",151.58583688735962,0.6742318313967466,0.579320327978239,0.7133234851844051
127,DimReduct|RFC,"{'DimReduct__n_features': 128, 'RFC__random_state': 2357136044}",214.29907684326173,0.6742118466213805,0.5765021768521483,0.7119763126673173
125,DimReduct|RFC,"{'DimReduct__n_features': 126, 'RFC__random_state': 2357136044}",1260.9669748306274,0.6741216466554077,0.5764345605118001,0.7112718053177922
306,DimReduct|RFC,"{'DimReduct__n_features': 307, 'RFC__random_state': 2357136044}",258.039350271225,0.6740714876799123,0.5796522717969058,0.7135296518813721
156,DimReduct|RFC,"{'DimReduct__n_features': 157, 'RFC__random_state': 2357136044}",205.32087149620057,0.6740614922693158,0.5754524264637372,0.7105285226871348
131,DimReduct|RFC,"{'DimReduct__n_features': 132, 'RFC__random_state': 2357136044}",217.7011580467224,0.6740512104388247,0.5781105050730038,0.7124701319649998
113,DimReduct|RFC,"{'DimReduct__n_features': 114, 'RFC__random_state': 2357136044}",204.30586647987366,0.674041511473932,0.5777840635178367,0.712479894599037
101,DimReduct|RFC,"{'DimReduct__n_features': 102, 'RFC__random_state': 2357136044}",152.69586715698242,0.6739612285843024,0.5775758718702414,0.7119981317451225
95,DimReduct|RFC,"{'DimReduct__n_features': 96, 'RFC__random_state': 2357136044}",136.14454627037048,0.673921221791666,0.5762781492345704,0.7112937465456016
112,DimReduct|RFC,"{'DimReduct__n_features': 113, 'RFC__random_state': 2357136044}",153.7071457386017,0.673850988551815,0.5773741167847539,0.711570978459035
90,DimReduct|RFC,"{'DimReduct__n_features': 91, 'RFC__random_state': 2357136044}",138.3931691646576,0.6737507519974771,0.5762758650715523,0.7111183245977657
